group,subgroup,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness,symmetry_error,streak_spacing
mbe,.,10.1.png,300.0,42.86,25.28,2.33,0.577,274.72,153.73
mbe,.,11.1.png,17.89,21.66,16.1,4.62,0.554,1.79,111.22
mbe,.,12.1.png,246.77,30.89,37.32,3.24,0.549,209.45,115.76
mbe,.,13.1.png,20.04,257.48,26.02,0.39,0.537,5.98,166.64
mbe,.,14.1.png,19.33,296.78,20.47,0.34,0.381,1.14,166.97
mbe,.,15.1.png,18.44,31.4,20.3,3.18,0.47,1.86,193.6
mbe,.,16.1.png,246.93,43.29,20.83,2.31,0.583,226.1,187.53
mbe,.,17.1.png,300.0,35.24,28.52,2.84,0.54,271.48,121.31
mbe,.,18.1.png,294.18,39.85,233.77,2.51,0.579,60.41,150.27
mbe,.,19.1.png,300.0,52.25,28.22,1.91,0.564,271.78,132.81
mbe,.,20.1.png,238.29,49.27,160.19,2.03,0.589,78.09,144.7
mbe,.,21.1.png,228.48,38.29,31.41,2.61,0.532,197.06,126.4
mbe,.,23.1.png,245.37,49.32,155.94,2.03,0.588,89.43,145.82
mbe,.,24.1.png,18.12,25.25,300.0,3.96,0.505,281.88,270.83
mbe,.,25.1.png,257.51,10.0,10.0,10.0,0.617,247.51,222.89
mbe,.,26.1.png,27.42,300.0,23.55,0.33,0.619,3.87,95.94
mbe,.,28.1.png,16.63,32.1,300.0,3.12,0.371,283.37,277.04
mbesubstrate,.,10.3.png,160.06,22.48,10.0,4.45,0.307,150.06,265.24
mbesubstrate,.,11.3.png,10.93,45.67,11.86,2.19,0.328,0.93,164.95
mbesubstrate,.,13.3.png,118.61,51.11,13.32,1.96,0.379,105.29,351.04
mbesubstrate,.,14.3.png,125.72,34.93,10.0,2.86,0.205,115.72,374.05
mbesubstrate,.,15.3.png,53.55,41.18,134.25,2.43,0.235,80.7,209.19
mbesubstrate,.,16.3.png,10.0,24.75,10.01,4.04,0.318,0.0,171.99
mbesubstrate,.,17.3.png,10.08,44.29,10.27,2.26,0.387,0.18,172.69
mbesubstrate,.,18.3.png,164.76,23.42,10.0,4.27,0.291,154.76,291.96
mbesubstrate,.,19.3.png,10.0,10.0,18.02,10.0,0.35,8.02,191.83
mbesubstrate,.,20.3.png,115.74,42.35,13.31,2.36,0.367,102.44,352.72
mbesubstrate,.,21.3.png,272.45,98.77,300.0,1.01,0.594,27.55,375.0
mbesubstrate,.,22.3.png,248.39,19.9,10.0,5.03,0.354,238.39,366.58
mbesubstrate,.,23.3.png,264.37,17.04,11.41,5.87,0.347,252.97,335.36
mbesubstrate,.,24.3.png,20.83,17.46,10.0,5.73,0.347,10.83,233.59
mbesubstrate,.,25.3.png,54.47,10.0,16.57,10.0,0.566,37.91,209.4
mbesubstrate,.,26.3.png,81.25,36.28,10.0,2.76,0.278,71.25,284.48
mbesubstrate,.,28.3.png,60.75,54.89,12.54,1.82,0.389,48.21,307.26
mbesubstrate,.,31.3.png,10.26,10.0,10.0,10.0,0.217,0.26,165.74
test,Spotty,240709A_45.png,71.34,14.27,58.39,7.01,0.475,12.95,296.59
test,Spotty,240709A_PbSe_109.png,71.94,71.72,45.25,1.39,0.154,26.69,287.67
test,Spotty,240709A_PbSe_421.png,24.63,30.72,20.72,3.25,0.163,3.91,166.55
test,Spotty,240709A_PbSe_452.png,34.27,161.72,156.07,0.62,0.192,121.79,219.09
test,Spotty,240710T125905_CdTe.png,24.74,16.48,15.48,6.07,0.491,9.26,308.59
test,Spotty,240715A_GeTe_InGeTe_22mins_100.png,37.93,227.23,43.79,0.44,0.0,5.86,157.62
test,Spotty,240715B_GeTe_52mins_129.png,300.0,150.9,34.23,0.66,0.106,265.77,176.45
test,Spotty,240715B_GeTe_52mins_288.png,26.9,199.3,43.13,0.5,0.0,16.23,178.03
test,Spotty,240715B_GeTe_52mins_414.png,32.72,188.69,26.39,0.53,0.333,6.33,262.95
test,Spotty,240715B_GeTe_52mins_504.png,22.55,286.19,28.22,0.35,0.122,5.67,178.52
test,Spotty,240715B_GeTe_52mins_634.png,33.08,164.22,26.3,0.61,0.264,6.78,262.85
test,Spotty,240715B_GeTe_52mins_758.png,27.25,245.19,28.57,0.41,0.589,1.32,178.52
test,Spotty,240715B_GeTe_52mins_848.png,32.17,152.73,26.52,0.65,0.176,5.65,263.04
test,Spotty,240715B_GeTe_52mins_939.png,22.42,300.0,28.35,0.33,0.205,5.94,178.63
test,Spotty,240715B_GeTe_52mins_993.png,25.56,300.0,28.99,0.33,0.128,3.43,177.14
test,Spotty,240716B_656.png,59.91,42.97,61.62,2.33,0.29,1.71,141.03
test,Spotty,240716B_CdTe_623.png,63.59,44.72,67.61,2.24,0.301,4.02,140.65
test,Spotty,240716B_CdTe_708.png,53.99,36.14,53.5,2.77,0.281,0.49,141.64
test,Spotty,240716B_CdTe_908.png,41.6,19.07,31.32,5.24,0.472,10.28,140.52
test,Spotty,240716B_CdTe_998.png,38.18,18.7,29.38,5.35,0.53,8.8,139.61
test,Spotty,240716B_spottydark713.png,43.27,24.74,30.36,4.04,0.539,12.91,141.06
test,Spotty,240731A_MnTe_0min_826.png,31.11,34.13,21.78,2.93,0.0,9.33,167.79
test,Spotty,240731A_MnTe_0min_969.png,34.93,30.24,10.0,3.31,0.0,24.93,309.64
test,Spotty,240805A_407.png,60.07,151.4,25.05,0.66,0.486,35.02,206.57
test,Spotty,240805A_588.png,57.4,92.39,49.69,1.08,0.435,7.72,209.25
test,Spotty,240805A_647.png,57.14,95.69,51.61,1.05,0.439,5.53,210.48
test,Spotty,240805A_778.png,55.59,89.21,58.12,1.12,0.427,2.53,210.85
test,Spotty,240805A_998.png,55.11,87.19,47.29,1.15,0.425,7.82,211.25
test,Spotty,240805C_998.png,89.65,51.01,88.86,1.96,0.326,0.78,141.17
test,Spotty,240814A_MnTe_0min_297.png,58.42,30.31,23.61,3.3,0.118,34.81,148.19
test,Spotty,240814A_MnTe_0min_568.png,32.79,71.9,32.05,1.39,0.0,0.74,168.24
test,Spotty,240814A_MnTe_0min_705.png,22.45,28.24,23.62,3.54,0.206,1.17,167.87
test,Spotty,240814A_MnTe_0min_874.png,21.46,17.72,28.05,5.64,0.172,6.59,167.62
test,Spotty,240822_641.png,81.9,21.56,28.19,4.64,0.218,53.7,236.7
test,Spotty,240822_985.png,88.22,20.03,58.48,4.99,0.315,29.74,245.07
test,Spotty,240828A_433.png,263.92,43.11,55.79,2.32,0.0,208.13,188.82
test,Spotty,240828B_226.png,86.39,46.8,33.09,2.14,0.453,53.3,242.51
test,Spotty,240828B_315.png,264.46,64.62,87.26,1.55,0.381,177.21,170.93
test,Spotty,240828B_347.png,69.32,50.21,43.44,1.99,0.484,25.89,155.64
test,Spotty,240828B_406.png,69.76,47.06,76.43,2.12,0.352,6.66,238.73
test,Spotty,240828B_527.png,66.05,51.67,62.38,1.94,0.454,3.67,156.93
test,Spotty,240828B_583.png,63.38,39.54,33.14,2.53,0.406,30.23,244.97
test,Spotty,240828B_615.png,76.73,62.3,44.78,1.61,0.0,31.95,239.95
test,Spotty,240828B_910.png,44.51,59.28,51.41,1.69,0.294,6.9,292.64
test,Spotty,240828B_927.png,51.99,42.47,217.94,2.35,0.284,165.95,172.27
test,Spotty,240828B_956.png,71.19,48.05,58.5,2.08,0.062,12.69,243.93
test,Spotty,240828_778.png,229.74,41.38,53.1,2.42,0.0,176.64,219.86
test,Spotty,240905B_GeTe_MnTe_30min_205.png,193.0,22.57,14.34,4.43,0.06,178.67,196.59
test,Spotty,240905B_GeTe_MnTe_30min_641.png,19.22,17.46,23.44,5.73,0.617,4.23,192.52
test,Spotty,240905B_GeTe_MnTe_30min_727.png,10.0,10.0,179.46,10.0,0.446,169.46,282.25
test,Spotty,240905B_GeTe_MnTe_30min_852.png,25.66,22.68,216.94,4.41,0.0,191.29,140.91
test,Spotty,240905B_GeTe_MnTe_30min_910.png,15.66,16.4,40.62,6.1,0.604,24.97,147.55
test,Spotty,240906A_MnTe_0min_332.png,34.62,79.13,24.38,1.26,0.0,10.24,167.97
test,Spotty,240906A_MnTe_0min_736.png,10.01,300.0,16.77,0.33,0.505,6.77,240.03
test,Spotty,240906A_MnTe_0min_915.png,55.07,44.29,18.77,2.26,0.0,36.3,166.14
test,Spotty,240906A_MnTe_0min_998.png,10.01,300.0,16.67,0.33,0.511,6.66,240.28
test,Spotty,240912A_286.png,32.91,59.18,21.43,1.69,0.716,11.48,194.63
test,Spotty,240912A_361.png,36.63,69.82,25.19,1.43,0.711,11.45,195.16
test,Spotty,240912A_424.png,37.58,76.01,23.45,1.32,0.71,14.12,195.12
