filename,fwhm_L,fwhm_C,fwhm_R,bg_curvature
10.1.png,49.57,47.53,23.31,-0.00012
11.1.png,29.73,34.78,22.95,-0.000101
12.1.png,29.12,32.79,23.32,-0.000137
13.1.png,28.74,34.99,25.32,-0.000139
14.1.png,27.85,28.98,24.34,-7.8e-05
15.1.png,26.39,29.83,24.24,-6.9e-05
16.1.png,66.28,35.86,18.83,-0.000132
17.1.png,36.73,38.4,23.84,-0.000147
18.1.png,32.74,35.26,21.88,-7.6e-05
19.1.png,31.2,39.0,22.84,-0.000119
20.1.png,47.26,42.57,19.31,-0.000122
21.1.png,33.95,37.08,17.07,-0.000111
23.1.png,57.8,42.33,19.61,-0.000108
24.1.png,65.22,39.33,24.84,-0.000101
25.1.png,69.0,43.78,6.76,-0.000111
26.1.png,30.48,34.84,26.53,-0.000127
28.1.png,52.81,36.19,24.09,-0.000139
