filename,fwhm_L,fwhm_C,fwhm_R,baseline_y0,sharpness,symmetry_error
10.1.png,25.09,45.44,24.99,72.19,0.25,0.52
11.1.png,27.21,34.62,26.63,52.02,0.37,1.99
12.1.png,25.12,32.67,24.48,68.32,0.49,0.74
13.1.png,24.37,35.03,27.57,71.85,0.46,0.82
14.1.png,21.79,28.22,24.11,39.69,0.56,1.07
15.1.png,35.45,37.2,35.36,41.05,0.73,2.17
16.1.png,17.91,38.51,22.36,65.31,0.36,3.5
17.1.png,18.14,41.84,21.7,84.68,0.48,2.74
18.1.png,20.47,37.12,23.27,43.47,0.38,2.07
19.1.png,5.3,44.29,16.13,69.44,0.48,5.43
20.1.png,21.03,44.51,19.3,74.01,0.38,1.69
21.1.png,25.04,38.93,23.49,58.07,0.54,3.58
23.1.png,21.83,44.17,18.59,66.89,0.37,2.63
24.1.png,14.29,27.25,13.97,46.42,0.26,1.48
25.1.png,30.36,9.89,31.7,64.63,0.08,1.47
26.1.png,28.86,32.78,23.98,65.07,0.35,5.83
28.1.png,21.81,24.89,21.26,65.1,0.31,1.8
