filename,fwhm_L,fwhm_C,fwhm_R,baseline,sharpness,symmetry_error
10.1.png,21.77,43.06,23.81,72.78,0.24,2.96
11.1.png,26.06,31.77,21.77,52.85,0.35,4.38
12.1.png,22.75,30.27,21.32,69.58,0.47,2.0
13.1.png,22.76,32.66,24.94,73.06,0.44,0.33
14.1.png,20.08,26.26,22.0,40.43,0.54,0.72
15.1.png,39.88,37.07,39.72,41.1,0.72,0.79
16.1.png,15.37,36.79,14.15,65.87,0.35,1.44
17.1.png,13.14,39.89,12.06,85.75,0.46,0.76
18.1.png,19.35,34.77,20.01,44.04,0.37,1.2
19.1.png,4.0,42.79,7.12,70.08,0.47,1.7
20.1.png,15.05,41.98,9.18,74.97,0.36,1.04
21.1.png,21.5,36.71,17.89,59.05,0.52,5.58
23.1.png,12.12,41.89,11.42,67.65,0.35,0.16
24.1.png,12.93,25.55,12.62,46.85,0.25,1.55
25.1.png,29.04,7.62,30.97,65.15,0.08,0.67
26.1.png,90.0,31.59,21.97,65.57,0.34,37.75
28.1.png,21.65,23.3,20.28,65.76,0.3,3.6
