mode,group,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
Growth,mbe,10.1.png,414.74,204.28,363.27,0.49,0.59
Growth,mbe,11.1.png,180.87,151.98,201.49,0.66,0.554
Growth,mbe,12.1.png,188.86,133.61,202.5,0.75,0.548
Growth,mbe,13.1.png,222.07,143.58,219.64,0.7,0.545
Growth,mbe,14.1.png,186.58,127.28,170.81,0.79,0.382
Growth,mbe,15.1.png,146.96,92.24,167.19,1.08,0.469
Growth,mbe,16.1.png,543.61,165.8,414.23,0.6,0.608
Growth,mbe,17.1.png,420.86,125.85,329.39,0.79,0.553
Growth,mbe,18.1.png,373.37,155.55,296.45,0.64,0.589
Growth,mbe,19.1.png,0.0,130.72,435.16,0.77,0.576
Growth,mbe,20.1.png,527.63,157.75,426.54,0.63,0.612
Growth,mbe,21.1.png,234.37,115.94,284.06,0.86,0.532
Growth,mbe,23.1.png,550.46,155.6,395.78,0.64,0.608
Growth,mbe,24.1.png,479.3,240.49,614.96,0.42,0.502
Growth,mbe,25.1.png,337.37,237.4,447.96,0.42,0.542
Growth,mbe,26.1.png,279.06,182.07,374.44,0.55,0.612
Growth,mbe,28.1.png,316.0,234.12,367.56,0.43,0.371
Growth,test,240709A_45.png,153.7,616.63,195.1,0.16,0.468
Growth,test,240709A_PbSe_109.png,206.86,152.38,127.7,0.66,0.152
Growth,test,240709A_PbSe_421.png,25.66,28.8,25.19,3.47,0.209
Growth,test,240709A_PbSe_452.png,222.85,0.0,346.66,1000000000.0,0.198
Growth,test,240710T125905_CdTe.png,70.92,205.84,74.51,0.49,0.462
Growth,test,240715A_GeTe_InGeTe_22mins_100.png,119.06,333.8,141.61,0.3,0.0
Growth,test,240715B_GeTe_52mins_129.png,254.89,211.07,55.96,0.47,0.046
Growth,test,240715B_GeTe_52mins_288.png,57.9,216.53,158.9,0.46,0.0
Growth,test,240715B_GeTe_52mins_414.png,40.75,198.05,90.87,0.5,0.0
Growth,test,240715B_GeTe_52mins_504.png,32.79,225.99,111.47,0.44,0.0
Growth,test,240715B_GeTe_52mins_634.png,38.65,195.97,88.05,0.51,0.0
Growth,test,240715B_GeTe_52mins_758.png,71.11,237.02,205.32,0.42,0.229
Growth,test,240715B_GeTe_52mins_848.png,36.5,198.67,80.33,0.5,0.007
Growth,test,240715B_GeTe_52mins_939.png,31.88,224.34,111.26,0.45,0.0
Growth,test,240715B_GeTe_52mins_993.png,267.17,205.84,48.65,0.49,0.0
Growth,test,240716B_656.png,188.7,325.28,202.13,0.31,0.279
Growth,test,240716B_CdTe_623.png,194.97,310.07,211.72,0.32,0.3
Growth,test,240716B_CdTe_708.png,172.65,344.79,184.46,0.29,0.28
Growth,test,240716B_CdTe_908.png,215.67,293.09,171.11,0.34,0.474
Growth,test,240716B_CdTe_998.png,211.27,306.51,179.67,0.33,0.553
Growth,test,240716B_spottydark713.png,217.1,290.2,168.72,0.34,0.528
Growth,test,240731A_MnTe_0min_826.png,113.02,100.66,156.5,0.99,0.0
Growth,test,240731A_MnTe_0min_969.png,173.02,112.22,132.53,0.89,0.0
Growth,test,240805A_407.png,110.25,240.01,133.54,0.42,0.486
Growth,test,240805A_588.png,84.09,426.49,109.74,0.23,0.437
Growth,test,240805A_647.png,82.45,515.3,108.24,0.19,0.432
Growth,test,240805A_778.png,78.94,805.81,104.53,0.12,0.421
Growth,test,240805A_998.png,78.85,411.53,106.44,0.24,0.416
Growth,test,240805C_998.png,182.19,204.21,198.8,0.49,0.331
Growth,test,240814A_MnTe_0min_297.png,98.51,848.66,107.93,0.12,0.088
Growth,test,240814A_MnTe_0min_568.png,62.56,152.57,53.64,0.66,0.0
Growth,test,240814A_MnTe_0min_705.png,62.75,51.66,52.29,1.94,0.205
Growth,test,240814A_MnTe_0min_874.png,65.17,97.89,43.56,1.02,0.172
Growth,test,240822_641.png,0.0,142.41,94.57,0.7,0.248
Growth,test,240822_985.png,317.99,354.31,111.13,0.28,0.199
Growth,test,240828A_433.png,382.64,160.17,126.87,0.62,0.0
Growth,test,240828B_226.png,302.86,132.17,0.0,0.76,0.457
Growth,test,240828B_315.png,528.13,248.05,377.87,0.4,0.382
Growth,test,240828B_347.png,262.85,216.93,403.55,0.46,0.487
Growth,test,240828B_406.png,213.57,139.43,359.52,0.72,0.353
Growth,test,240828B_527.png,222.29,229.95,380.65,0.43,0.452
Growth,test,240828B_583.png,146.77,107.55,81.13,0.93,0.406
Growth,test,240828B_615.png,179.36,220.45,169.49,0.45,0.0
Growth,test,240828B_910.png,101.87,122.8,115.89,0.81,0.286
Growth,test,240828B_927.png,171.67,225.26,274.94,0.44,0.284
Growth,test,240828B_956.png,174.67,122.44,152.14,0.82,0.074
Growth,test,240828_778.png,349.48,122.0,114.64,0.82,0.0
Growth,test,240905B_GeTe_MnTe_30min_205.png,395.59,92.4,19.01,1.08,0.064
Growth,test,240905B_GeTe_MnTe_30min_641.png,79.73,75.89,166.96,1.32,0.618
Growth,test,240905B_GeTe_MnTe_30min_727.png,117.98,80.79,17.9,1.24,0.0
Growth,test,240905B_GeTe_MnTe_30min_852.png,355.88,137.38,104.31,0.73,0.0
Growth,test,240905B_GeTe_MnTe_30min_910.png,87.47,62.25,59.13,1.61,0.606
Growth,test,240906A_MnTe_0min_332.png,98.02,209.67,49.7,0.48,0.0
Growth,test,240906A_MnTe_0min_736.png,165.87,43.52,26.12,2.3,0.0
Growth,test,240906A_MnTe_0min_915.png,107.7,157.69,161.33,0.63,0.0
Growth,test,240906A_MnTe_0min_998.png,155.07,45.07,26.13,2.22,0.0
Growth,test,240912A_286.png,275.39,169.96,250.27,0.59,0.716
Growth,test,240912A_361.png,309.0,177.11,275.26,0.56,0.711
Growth,test,240912A_424.png,339.81,188.35,306.08,0.53,0.71
Growth,test,240912A_494.png,368.87,197.5,341.24,0.51,0.709
Growth,test,240912A_542.png,372.66,200.81,351.97,0.5,0.708
Growth,test,240912A_604.png,384.47,208.06,335.11,0.48,0.704
Growth,test,240912A_672.png,396.98,213.28,360.32,0.47,0.703
Growth,test,240912A_719.png,396.29,303.64,0.0,0.33,0.638
Growth,test,240912A_781.png,1133.82,400.46,295.69,0.25,0.644
Growth,test,240912A_844.png,99.58,274.14,271.74,0.36,0.564
Growth,test,240912A_858.png,138.61,283.25,74.17,0.35,0.447
Growth,test,240912A_972.png,92.54,143.1,117.03,0.7,0.378
Growth,test,240912A_998.png,156.65,195.68,115.59,0.51,0.419
Growth,test,240912B_204.png,21.71,27.51,25.82,3.63,0.205
Growth,test,240912B_327.png,23.87,57.36,33.36,1.74,0.548
Growth,test,240912B_366.png,29.38,56.27,26.32,1.78,0.645
Growth,test,240912B_480.png,25.2,0.0,0.0,1000000000.0,0.0
Growth,test,240912B_627.png,120.28,202.5,48.76,0.49,0.324
Growth,test,240912B_639.png,199.12,111.48,35.87,0.9,0.399
Growth,test,240912B_85.png,53.47,40.41,0.0,2.47,0.0
Growth,test,240912B_963.png,23.23,154.24,36.97,0.65,0.547
Growth,test,240912B_985.png,311.97,382.09,100.98,0.26,0.681
Growth,test,240925B_458.png,61.05,42.39,61.1,2.36,0.173
Growth,test,240925B_811.png,58.78,46.5,76.74,2.15,0.236
Growth,test,240925B_998.png,61.18,33.83,49.51,2.96,0.257
Growth,test,240925B__725.png,152.72,32.41,0.0,3.09,0.141
Growth,test,241011A_866.png,243.2,200.71,184.87,0.5,0.494
Growth,test,241011A_939.png,192.67,188892.6,136.42,0.0,0.578
Growth,test,241011B_722.png,259.3,0.0,247.29,1000000000.0,0.574
Growth,test,241011B_758.png,255.38,0.0,247.44,1000000000.0,0.579
Growth,test,241011B_949.png,243.5,0.0,191.35,1000000000.0,0.57
Growth,test,241011B__517.png,277.37,997.81,252.56,0.1,0.623
Growth,test,241011B__596.png,264.51,0.0,243.8,1000000000.0,0.626
Growth,test,241011B__659.png,264.31,0.0,246.44,1000000000.0,0.627
Growth,test,241011B__931.png,274.77,414.05,276.69,0.24,0.396
Growth,test,241015A_528.png,482.9,553.12,199.92,0.18,0.467
Growth,test,241015A_917.png,1988.86,651.52,198.55,0.15,0.1
Growth,test,241024A_425.png,210.81,231.27,103.97,0.43,0.428
Growth,test,241024B_797.png,286.14,306.87,243.39,0.33,0.466
Growth,test,241030A_342.png,91.81,232.24,87.34,0.43,0.536
Growth,test,241030A_386.png,85.14,284.2,84.52,0.35,0.517
Growth,test,241030A_436.png,83.84,369.1,83.64,0.27,0.496
Growth,test,241030A_471.png,81.12,890.79,80.11,0.11,0.483
Growth,test,241030A_485.png,82.54,487.05,81.73,0.21,0.487
Growth,test,241030A_530.png,0.0,82.32,81.23,1.21,0.481
Growth,test,241030A_595.png,0.0,81.43,81.16,1.23,0.479
Growth,test,241030A_634.png,81.46,1063.72,81.59,0.09,0.481
Growth,test,241030A_696.png,0.0,80.93,80.36,1.24,0.483
Growth,test,241030A_731.png,0.0,81.48,81.06,1.23,0.483
Growth,test,241030A_788.png,81.06,0.0,81.11,1000000000.0,0.484
Growth,test,241030A_832.png,82.36,0.0,81.74,1000000000.0,0.487
Growth,test,241030A_873.png,116.53,317.07,98.77,0.32,0.537
Growth,test,241030A_914.png,124.26,275.9,100.87,0.36,0.487
Growth,test,241030A_952.png,115.73,261.75,93.92,0.38,0.477
Growth,test,241030A_998.png,110.4,214.34,86.46,0.47,0.484
Growth,test,241031A_880.png,162.5,172.36,172.93,0.58,0.439
Growth,test,241031A_998.png,201.48,167.91,160.18,0.6,0.482
Growth,test,250212A1.png,202.21,462.11,64.65,0.22,0.388
Growth,test,250212A1_292.png,72.34,257.71,66.91,0.39,0.31
Growth,test,250212A1_295.png,71.83,272.19,66.23,0.37,0.317
Growth,test,250212A1_998.png,127.06,145.12,79.91,0.69,0.443
Growth,test,250213A1_509.png,328.08,0.0,209.84,1000000000.0,0.537
Growth,test,250213A1_833.png,375.39,200.24,115.04,0.5,0.539
Growth,test,250213A1_998.png,363.1,204.27,117.55,0.49,0.526
Growth,test,250213A2_281.png,0.0,217.07,187.79,0.46,0.553
Growth,test,250213A2_579.png,327.94,0.0,223.35,1000000000.0,0.555
Growth,test,250213A3_45.png,129.58,235.02,69.71,0.43,0.51
Growth,test,250213A3_50.png,397.36,131.4,70.65,0.76,0.521
Growth,test,250214A1_870.png,200.33,325.75,209.13,0.31,0.359
Growth,test,250214A1_998.png,167.08,333.29,175.19,0.3,0.341
Growth,test,250214A2_312.png,171.84,361.5,184.15,0.28,0.309
Growth,test,250214A2_669.png,103.45,419.34,99.64,0.24,0.307
Growth,test,250214A2_958.png,128.85,333.37,132.68,0.3,0.302
Growth,test,250228B1_399.png,105.4,51.43,96.08,1.94,0.0
Growth,test,250228B1_487.png,86.18,425.44,47.77,0.24,0.0
Growth,test,250228B1_615.png,278.13,113.45,91.57,0.88,0.0
Growth,test,250228B1_799.png,259.14,170.52,119.97,0.59,0.0
Growth,test,250228B1_899.png,202.49,144.37,143.82,0.69,0.0
Growth,test,250228B1_998.png,194.37,127.07,220.09,0.79,0.0
Growth,test,250306A1_888.png,65.95,172.06,79.22,0.58,0.33
Growth,test,250306B1_21.png,148.65,41.24,64.47,2.42,0.144
Growth,test,250306B1_321.png,95.39,376.16,60.2,0.27,0.163
Growth,test,250306B1_524.png,172.61,84.92,59.03,1.18,0.369
Growth,test,250306B1_797.png,149.26,76.03,68.36,1.32,0.488
Growth,test,250306B1_983.png,122.3,49.62,50.04,2.02,0.387
Growth,test,250306B2_142.png,240.79,187.16,65.79,0.53,0.551
Growth,test,250306B2_731.png,405.91,121.76,74.02,0.82,0.602
Growth,test,250312A1_294.png,146.82,65.95,168.88,1.52,0.363
Growth,test,250312A1_398.png,92.69,47.36,0.0,2.11,0.132
Growth,test,250312A1_508.png,86.85,43.25,0.0,2.31,0.044
Growth,test,250312A1_683.png,79.34,40.12,0.0,2.49,0.0
Growth,test,250312A1_713.png,78.92,39.93,0.0,2.5,0.002
Growth,test,250312A1_738.png,78.27,39.46,0.0,2.53,0.0
Growth,test,250312A1_864.png,76.47,39.2,0.0,2.55,0.0
Growth,test,250312A1_961.png,75.77,39.18,0.0,2.55,0.0
Growth,test,250312B1_359.png,133.38,477.08,39.31,0.21,0.0
Growth,test,250312B1_718.png,107.87,296.89,40.06,0.34,0.0
Growth,test,250312B1_919.png,92.62,390.83,50.16,0.26,0.0
Growth,test,250312B1_963.png,45.15,124.15,74.89,0.81,0.0
Growth,test,250602A1_471.png,183.25,56.59,80.84,1.77,0.0
Growth,test,250602A1_557.png,190.47,59.05,78.76,1.69,0.0
Growth,test,250602A1_663.png,201.47,64.63,78.48,1.55,0.0
Growth,test,250602A1_729.png,179.71,44.57,78.65,2.24,0.0
Growth,test,250602A1_735.png,179.75,44.68,80.3,2.24,0.0
Growth,test,250602A1_943.png,159.77,43.21,75.47,2.31,0.0
Growth,test,250602A1_998.png,156.06,44.26,74.18,2.26,0.0
