group,subgroup,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
mbe,.,10.1.png,153.85,69739.39,160.95,0.0,0.578
mbe,.,11.1.png,91.18,0.0,86.03,1000000000.0,0.554
mbe,.,12.1.png,96.65,0.0,97.48,1000000000.0,0.548
mbe,.,13.1.png,115.93,0.0,121.38,1000000000.0,0.526
mbe,.,14.1.png,100.74,0.0,106.11,1000000000.0,0.348
mbe,.,15.1.png,84.89,0.0,97.12,1000000000.0,0.469
mbe,.,16.1.png,151.67,0.0,213.45,1000000000.0,0.584
mbe,.,17.1.png,110.89,0.0,118.63,1000000000.0,0.544
mbe,.,18.1.png,155.99,0.0,165.17,1000000000.0,0.579
mbe,.,19.1.png,127.63,0.0,136.94,1000000000.0,0.568
mbe,.,20.1.png,146.77,0.0,187.21,1000000000.0,0.588
mbe,.,21.1.png,103.45,0.0,131.85,1000000000.0,0.534
mbe,.,23.1.png,152.97,0.0,173.11,1000000000.0,0.588
mbe,.,24.1.png,177.75,0.0,178.34,1000000000.0,0.502
mbe,.,25.1.png,156.04,0.0,186.44,1000000000.0,0.542
mbe,.,26.1.png,140.94,0.0,157.31,1000000000.0,0.61
mbe,.,28.1.png,122.8,0.0,133.46,1000000000.0,0.371
mbesubstrate,.,10.3.png,52.1,165.61,28.69,0.6,0.304
mbesubstrate,.,11.3.png,42.29,62.49,38.93,1.6,0.277
mbesubstrate,.,13.3.png,45.08,125.3,46.71,0.8,0.366
mbesubstrate,.,14.3.png,50.24,45.26,20.17,2.21,0.205
mbesubstrate,.,15.3.png,97.11,0.0,97.51,1000000000.0,0.233
mbesubstrate,.,16.3.png,34.99,56.4,34.88,1.77,0.315
mbesubstrate,.,17.3.png,37.11,64.26,38.84,1.56,0.383
mbesubstrate,.,18.3.png,32.91,50.23,34.34,1.99,0.299
mbesubstrate,.,19.3.png,35.74,69.39,35.81,1.44,0.396
mbesubstrate,.,20.3.png,40.71,67.2,40.21,1.49,0.368
mbesubstrate,.,21.3.png,41.52,133.34,39.39,0.75,0.472
