filename,fwhm_L,fwhm_C,fwhm_R,baseline
10.3.png,47.61,41.1,0.0,31.04
11.3.png,42.33,58.53,48.11,33.9
13.3.png,48.92,58.06,54.53,42.28
14.3.png,44.98,56.87,0.0,28.63
15.3.png,39.04,34.65,37.15,33.95
16.3.png,39.98,55.28,41.66,31.44
17.3.png,41.6,60.17,46.01,41.76
18.3.png,38.66,44.28,42.94,25.86
19.3.png,39.15,67.7,42.81,43.83
20.3.png,47.7,63.94,55.58,44.18
21.3.png,45.35,72.25,49.17,64.14
22.3.png,37.54,49.1,43.58,36.1
23.3.png,36.97,50.21,40.68,36.77
24.3.png,52.59,48.18,72.66,44.15
25.3.png,40.66,68.33,41.88,53.65
26.3.png,36.76,52.04,38.06,40.07
28.3.png,41.28,65.82,41.14,57.88
31.3.png,37.74,64.21,40.9,52.14
