filename,fwhm_L,fwhm_C,fwhm_R
10.3.png,54.01,39.78,115.44
11.3.png,46.05,61.08,103.59
13.3.png,64.48,60.01,66.2
14.3.png,49.03,56.51,132.06
15.3.png,51.98,32.96,81.15
16.3.png,44.05,54.11,44.64
17.3.png,45.22,62.19,49.96
18.3.png,42.04,41.68,46.81
19.3.png,35.39,65.76,46.95
20.3.png,53.02,65.57,66.33
21.3.png,47.24,74.26,55.36
22.3.png,42.27,44.43,51.34
23.3.png,38.92,45.03,45.91
24.3.png,74.52,42.99,118.99
25.3.png,52.22,67.09,53.02
26.3.png,49.56,52.39,47.51
28.3.png,47.0,66.69,50.62
31.3.png,45.84,64.88,50.41
