filename,fwhm_L,fwhm_C,fwhm_R,baseline,sharpness,symmetry_error
10.3.png,46.45,41.26,46.45,30.8,4.82,38.38
11.3.png,41.46,100.59,53.45,12.97,4.39,54.86
13.3.png,47.2,28.72,55.18,32.62,0.9,0.69
14.3.png,43.72,50.08,43.72,24.58,3.53,42.19
15.3.png,38.7,34.61,36.27,34.03,4.45,1.36
16.3.png,39.47,55.79,41.61,30.82,2.96,0.38
17.3.png,40.89,60.9,46.23,40.81,4.23,8
18.3.png,38.09,44.39,42.74,25.69,6.06,0.54
19.3.png,38.77,68.3,42.86,43.17,2.17,0.64
20.3.png,46.74,101.97,55.16,28.11,2.26,47.63
21.3.png,44.5,180.63,49.05,-9.26,56.29,98.16
22.3.png,37.04,49.05,43.52,36.18,4.28,0.22
23.3.png,36.51,50.15,40.66,36.86,4.04,0.05
24.3.png,50.85,48.1,73.09,44.26,2.96,5.98
25.3.png,39.48,124.34,41.75,27.51,1.83,60.41
26.3.png,36.36,52.29,37.64,39.64,2.59,3.29
28.3.png,41.21,66.34,40.54,57.19,1.71,3.23
31.3.png,36.89,113.9,40.82,31.31,1.64,54.64
