mode,group,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
Substrate,mbesubstrate,10.3.png,53.23,179.64,29.37,0.56,0.304
Substrate,mbesubstrate,11.3.png,43.04,68.42,39.45,1.46,0.277
Substrate,mbesubstrate,13.3.png,44.42,70.05,45.29,1.43,0.34
Substrate,mbesubstrate,14.3.png,50.06,51.3,0.0,1.95,0.134
Substrate,mbesubstrate,15.3.png,124.68,0.0,127.56,1000000000.0,0.233
Substrate,mbesubstrate,16.3.png,34.55,59.18,34.58,1.69,0.278
Substrate,mbesubstrate,17.3.png,36.77,68.85,37.85,1.45,0.368
Substrate,mbesubstrate,18.3.png,32.99,51.77,33.88,1.93,0.299
Substrate,mbesubstrate,19.3.png,35.66,73.37,35.46,1.36,0.351
Substrate,mbesubstrate,20.3.png,40.49,71.58,39.62,1.4,0.38
Substrate,mbesubstrate,21.3.png,40.62,86.8,39.45,1.15,0.45
Substrate,mbesubstrate,22.3.png,34.08,43.97,35.17,2.27,0.366
Substrate,mbesubstrate,23.3.png,33.47,46.43,33.91,2.15,0.347
Substrate,mbesubstrate,24.3.png,68.07,9994.98,104.14,0.01,0.372
Substrate,mbesubstrate,25.3.png,45.48,88.8,55.0,1.13,0.399
Substrate,mbesubstrate,26.3.png,39.44,65.27,48.61,1.53,0.261
Substrate,mbesubstrate,28.3.png,42.94,86.45,51.66,1.16,0.366
Substrate,mbesubstrate,31.3.png,41.78,85.44,54.27,1.17,0.238
